client_id,first_name,last_name,date_of_birth,gender,country,region,satisfaction_score,age,client_ref,total_properties,total_spend,avg_price,client_type_Individual,acquisition_purpose_Investment,loan_applied_Yes,referral_channel_Client,referral_channel_Website,region_encoded,country_encoded,cluster
C0001,Kareem,Liu,1968-05-11,F,USA,California,4,58,C0001,4,1246764.72,311691.18,True,False,True,False,True,8,9,0
C0002,Trystan,Oconnor,1962-11-26,M,USA,California,1,64,C0002,5,1841095.9300000002,368219.18600000005,True,False,False,False,True,8,9,2
C0003,Kale,Gay,1959-04-07,M,USA,California,4,67,C0003,5,1661457.5899999999,332291.518,True,False,True,False,False,8,9,2
C0004,Russell,Gross,1959-11-25,M,USA,California,5,67,C0004,6,1608263.51,268043.91833333333,True,False,False,False,True,8,9,4
C0005,Marleez,Co,1976-02-28,M,USA,California,5,50,C0005,13,3653385.38,281029.64461538463,False,True,False,False,True,8,9,4
C0006,Yurem,Wright,1957-03-06,M,USA,California,3,69,C0006,5,1514131.06,302826.212,True,False,True,False,True,8,9,0
C0007,Xavier,Faulkner,1947-05-24,M,Canada,Quebec,5,79,C0007,11,3251147.83,295558.8936363636,True,True,False,False,True,40,2,4
C0008,Kayden,Olsen,1969-10-17,F,USA,California,5,57,C0008,5,1476730.4100000001,295346.08200000005,True,False,False,False,True,8,9,0
C0009,Joaquin,Mullins,1975-10-05,M,USA,California,5,51,C0009,5,1820832.35,364166.47000000003,True,True,False,False,False,8,9,2
C0010,Nicolas,Navarro,1966-06-17,M,USA,Oregon,3,60,C0010,5,1732434.0,346486.8,True,True,False,False,False,37,9,2
C0011,Laci,Guerra,1956-06-17,F,USA,California,2,70,C0011,5,1325211.52,265042.304,True,False,True,False,True,8,9,0
C0012,Kylax,Co,1975-04-25,M,USA,California,5,51,C0012,4,1599526.4,399881.6,False,True,False,False,True,8,9,2
C0013,Harley,Lucero,1962-08-10,M,USA,California,1,64,C0013,5,2142750.89,428550.178,True,False,True,False,True,8,9,2
C0014,Esther,Co,1980-07-10,M,USA,California,3,46,C0014,4,1548140.0699999998,387035.01749999996,False,False,True,False,True,8,9,2
C0015,Jaylynn,Hickman,1941-08-19,F,USA,California,5,85,C0015,5,1585907.37,317181.47400000005,True,False,False,True,False,8,9,2
C0016,Olivia,Oconnell,1939-09-03,F,USA,California,5,87,C0016,4,1010217.73,252554.4325,True,True,False,False,True,8,9,0
C0017,Antonio,Porter,1977-01-08,M,USA,Arizona,3,49,C0017,5,1778693.75,355738.75,True,False,False,True,False,1,9,2
C0018,Luke,Lynn,1967-02-07,M,USA,California,2,59,C0018,4,1061478.67,265369.6675,True,False,True,False,False,8,9,0
C0019,Anahi,Curry,1957-09-09,M,USA,California,5,69,C0019,4,1773474.26,443368.565,True,False,True,True,False,8,9,2
C0020,Camille,Sharp,1967-10-17,F,USA,California,5,59,C0020,4,1508032.25,377008.0625,True,False,False,False,True,8,9,2
C0021,Jesus,Obrien,1938-06-09,M,USA,Oregon,3,88,C0021,6,1928172.72,321362.12,True,True,False,False,True,37,9,4
C0022,Araceli,Nelson,1966-09-14,M,Germany,Berlin,5,60,C0022,4,1372403.2,343100.8,True,True,False,False,False,4,5,1
C0023,Cole,Taylor,1958-12-06,M,USA,California,3,68,C0023,5,1457871.69,291574.338,True,False,True,False,True,8,9,0
C0024,Alonso,Terrell,1963-11-05,M,USA,California,4,63,C0024,6,1884156.9000000001,314026.15,True,True,False,False,True,8,9,4
C0025,Rodolfo,Gibson,1937-01-20,M,USA,Nevada,2,89,C0025,5,1694448.83,338889.766,True,False,True,False,True,25,9,2
C0026,Joseph,Reeves,1962-09-23,M,USA,California,5,64,C0026,10,2932241.75,293224.175,True,True,False,False,True,8,9,4
C0027,Grant,Weber,1968-09-08,M,USA,California,5,58,C0027,5,1517969.44,303593.888,True,False,True,False,True,8,9,2
C0028,Ava,Phelps,1958-04-15,F,USA,California,3,68,C0028,5,1791082.79,358216.558,True,False,False,True,False,8,9,2
C0029,Kyla,Walker,1976-02-26,F,USA,Colorado,4,50,C0029,4,1247795.31,311948.8275,True,False,True,False,False,11,9,0
C0030,Alanna,Hess,1952-06-19,F,USA,Nevada,3,74,C0030,4,1547311.29,386827.8225,True,False,False,False,True,25,9,2
C0031,Skylar,Buchanan,1977-12-25,M,USA,Nevada,4,49,C0031,5,1077148.21,215429.642,True,False,True,False,True,25,9,0
C0032,Rodrigo,Robinson,1966-08-11,M,USA,California,4,60,C0032,5,1888995.1600000001,377799.032,True,False,False,False,True,8,9,2
C0033,Lydia,Tate,1968-08-14,F,USA,California,3,58,C0033,4,1404998.67,351249.6675,True,False,True,False,True,8,9,2
C0034,Lauryn,Patrick,1969-10-30,F,Belgium,Brussels,2,57,C0034,5,1632608.66,326521.73199999996,True,False,False,False,False,7,1,1
C0035,Diego,Mendez,1965-05-12,M,Mexico,Mexico City,3,61,C0035,5,1987876.4,397575.27999999997,True,False,False,False,False,23,6,2
C0036,Victor,Jensen,1973-09-01,M,USA,California,4,53,C0036,4,1173683.53,293420.8825,True,False,False,False,True,8,9,0
C0037,Scarlet,Hendricks,1962-01-20,F,USA,California,5,64,C0037,5,1607228.75,321445.75,True,False,True,False,True,8,9,2
C0038,Janelle,Espinoza,1974-12-25,F,USA,California,4,52,C0038,4,1175129.27,293782.3175,True,True,False,True,False,8,9,0
C0039,Aleksandra,Karenina,1967-06-13,F,Russia,Krasnodar Krai,1,59,C0039,4,1858527.54,464631.885,True,False,False,False,False,21,7,2
C0040,Conner,Huff,1975-03-22,M,USA,Nevada,5,51,C0040,6,1854608.29,309101.38166666665,True,False,False,False,True,25,9,4
C0041,Zain,Horne,1967-04-13,M,USA,Arizona,1,59,C0041,5,1374460.79,274892.158,True,False,True,False,True,1,9,0
C0042,Maia,Chandler,1975-08-12,F,USA,Utah,1,51,C0042,4,1101390.25,275347.5625,True,False,True,False,True,48,9,3
C0043,Jordyn,Park,1965-04-04,M,USA,Nevada,3,61,C0043,4,1126492.46,281623.115,True,True,True,False,True,25,9,0
C0044,Diana,Hunt,1931-02-13,F,USA,Arizona,3,95,C0044,4,1330493.26,332623.315,True,False,False,False,True,1,9,0
C0045,Kevin,Mata,1968-10-12,M,USA,Colorado,2,58,C0045,5,1463432.3599999999,292686.47199999995,True,True,False,False,False,11,9,0
C0046,Brisa,Mckee,1964-09-24,F,USA,California,5,62,C0046,8,2026517.4,253314.675,True,False,False,True,False,8,9,4
C0047,Mason,Gilbert,1970-07-31,M,USA,Colorado,2,56,C0047,5,1438239.28,287647.856,True,False,False,False,False,11,9,0
C0048,Derick,Li,1957-03-20,M,USA,California,3,69,C0048,4,1338718.0,334679.5,True,False,True,False,False,8,9,0
C0049,Jace,Riggs,1971-08-20,F,USA,California,1,55,C0049,4,1390091.2,347522.8,True,False,False,False,True,8,9,0
C0050,Jair,Johns,1940-03-05,M,USA,California,5,86,C0050,9,2744452.35,304939.15,True,False,False,False,True,8,9,4
C0051,Matilda,Madden,1941-03-03,F,USA,Colorado,3,85,C0051,4,1270440.42,317610.105,True,False,False,False,False,11,9,0
C0052,Myla,Ewing,1967-02-03,F,USA,Oregon,2,59,C0052,4,1474211.53,368552.8825,True,True,False,True,False,37,9,3
C0053,Miguel,Walter,1954-01-07,M,USA,Arizona,4,72,C0053,4,1120539.44,280134.86,True,False,False,False,False,1,9,0
C0054,Bridger CAL,Co,1967-02-15,M,USA,Nevada,5,59,C0054,6,2109277.6,351546.26666666666,False,True,False,False,True,25,9,4
C0055,Mara,Franco,1973-06-07,F,USA,California,5,53,C0055,4,1178979.21,294744.8025,True,False,True,False,False,8,9,0
C0056,Erik,Mora,1964-12-07,M,USA,Oregon,5,62,C0056,4,1579301.3599999999,394825.33999999997,True,True,False,False,False,37,9,2
C0057,Henry,Kennedy,1933-06-08,M,USA,California,4,93,C0057,5,2020519.52,404103.904,True,False,True,False,False,8,9,2
C0058,Kenyon,Co,1969-05-03,F,USA,California,1,57,C0058,5,1441406.17,288281.234,False,True,True,False,True,8,9,0
C0059,Oswaldo,Palmer,1960-06-16,M,USA,California,2,66,C0059,4,1278854.25,319713.5625,True,False,False,False,True,8,9,0
C0060,Kassidy,Vega,1972-05-07,F,USA,California,5,54,C0060,4,1355662.25,338915.5625,True,False,False,False,True,8,9,2
C0061,Morgan,Glass,1967-05-12,M,USA,Utah,5,59,C0061,4,1306907.58,326726.895,True,False,False,False,False,48,9,3
C0062,Tyler,Carr,1974-03-27,M,USA,California,5,52,C0062,5,1489333.49,297866.698,True,False,True,True,False,8,9,0
C0063,Yesenia,Marquez,1942-07-23,F,USA,Arizona,4,84,C0063,5,1625480.88,325096.176,True,False,False,False,True,1,9,2
C0064,Gordon,Brown,1974-02-10,M,UK,Northern Ireland,4,52,C0064,4,1448881.28,362220.32,True,True,False,False,False,31,8,2
C0065,Rodrigo,Ramirez,1972-03-26,M,USA,California,1,54,C0065,4,1557125.73,389281.4325,True,False,False,False,False,8,9,2
C0066,Melanie,Holland,1974-12-25,F,USA,California,3,52,C0066,4,1107164.17,276791.0425,True,True,False,True,False,8,9,0
C0067,Enrique,Cardenas,1977-06-10,M,USA,California,2,49,C0067,5,1431941.84,286388.368,True,False,False,False,True,8,9,0
C0068,Helen,Williamson,1966-02-26,F,USA,Colorado,5,60,C0068,4,1572779.33,393194.8325,True,False,True,False,False,11,9,2
C0069,Isis,Rios,1970-04-01,M,USA,California,4,56,C0069,5,1439142.47,287828.494,True,True,False,False,True,8,9,0
C0070,Kayley,Nielsen,1947-04-27,F,USA,Arizona,4,79,C0070,5,1521570.62,304314.124,True,False,True,False,True,1,9,0
C0071,Donavan,Flowers,1985-12-27,M,USA,California,1,41,C0071,5,1150384.09,230076.81800000003,True,False,True,True,False,8,9,0
C0072,Augustus,Hinton,1953-02-03,M,USA,Nevada,2,73,C0072,6,2246488.58,374414.76333333337,True,True,False,False,True,25,9,4
C0073,Alejandra,Greer,1965-01-11,F,Denmark,Capital Region,1,61,C0073,4,1413902.33,353475.5825,True,True,False,False,False,9,3,1
C0074,Violet,Nixon,1959-01-01,F,USA,Oregon,5,67,C0074,5,1709458.65,341891.73,True,True,False,True,False,37,9,2
C0075,Jaelyn,Berger,1970-05-05,F,USA,California,3,56,C0075,4,1269395.74,317348.935,True,False,False,False,True,8,9,0
C0076,Tristian,Fuller,1956-03-13,M,USA,California,5,70,C0076,6,1905852.0899999999,317642.01499999996,True,False,False,False,False,8,9,4
C0077,Christian,Costa,1980-09-14,M,USA,California,5,46,C0077,5,1880012.18,376002.436,True,False,False,False,True,8,9,2
C0078,Nora,Lynch,1948-04-23,F,USA,California,5,78,C0078,4,1685882.3900000001,421470.59750000003,True,False,False,False,True,8,9,2
C0079,Dangelo,Shea,1954-02-27,M,Belgium,Brussels,4,72,C0079,4,1456436.3,364109.075,True,True,False,False,True,7,1,1
C0080,Aiyana,Christensen,1949-01-16,F,USA,California,3,77,C0080,5,1427531.56,285506.31200000003,True,True,False,False,True,8,9,0
C0081,Sidney,Cline,1943-07-24,F,USA,California,4,83,C0081,4,1522144.26,380536.065,True,False,True,False,True,8,9,2
C0082,Kaitlin,Owen,1981-12-26,F,USA,Virginia,5,45,C0082,5,1282267.95,256453.59,True,True,False,True,False,50,9,3
C0083,Issac,Edwards,1938-10-29,M,USA,California,5,88,C0083,6,1513641.46,252273.57666666666,True,False,False,False,True,8,9,4
C0084,Zaiden,Merritt,1948-02-23,M,USA,Wyoming,3,78,C0084,5,1762231.92,352446.38399999996,True,False,False,False,False,55,9,3
C0085,Iris,Larsen,1966-09-14,M,USA,California,4,60,C0085,4,1185505.46,296376.365,True,False,True,False,False,8,9,0
C0086,Grace,Stein,1968-12-20,F,USA,California,3,58,C0086,5,1928188.6099999999,385637.72199999995,True,False,True,False,True,8,9,2
C0087,Alessandra,Perry,1979-05-15,F,USA,California,4,47,C0087,4,1681153.28,420288.32,True,False,False,False,False,8,9,2
C0088,Jamal,Mueller,1936-08-13,M,USA,Oregon,2,90,C0088,6,1450519.57,241753.2616666667,True,True,False,False,True,37,9,3
C0089,Irvin,Ellis,1949-11-14,M,USA,California,3,77,C0089,4,1041853.81,260463.4525,True,False,False,False,False,8,9,0
C0090,Terry,Forbes,1982-05-27,M,USA,California,5,44,C0090,5,980850.4199999999,196170.08399999997,True,False,False,True,False,8,9,0
C0091,Jacqueline,Grant,1959-11-13,F,USA,California,4,67,C0091,4,1356644.74,339161.185,True,False,False,False,True,8,9,0
C0092,Brock,Fischer,1971-05-29,M,USA,Kansas,3,55,C0092,8,2817926.96,352240.87,True,False,False,False,True,20,9,4
C0093,Curtis,Howard,1962-09-11,M,USA,California,2,64,C0093,5,1732558.38,346511.676,True,False,False,False,False,8,9,2
C0094,Avah,Huang,1948-04-23,F,USA,California,5,78,C0094,5,1062675.82,212535.16400000002,True,False,False,False,True,8,9,0
C0095,Frank,Meyer,1964-03-16,M,USA,California,3,62,C0095,6,1668973.02,278162.17,True,False,True,False,False,8,9,4
C0096,Darien,Dorsey,1985-12-27,M,USA,California,3,41,C0096,4,1363013.17,340753.2925,True,True,True,False,True,8,9,0
C0097,Franklin,Mack,1943-06-18,M,USA,Virginia,5,83,C0097,7,2189906.04,312843.72000000003,True,False,True,False,True,50,9,4
C0098,Elena,Petrova,1949-06-22,F,Russia,Saint Petersburg,3,77,C0098,4,1131592.65,282898.1625,True,False,True,False,False,42,7,3
C0099,Jack,Hanson,1941-12-01,M,USA,California,4,85,C0099,6,2000308.58,333384.76333333337,True,True,False,False,True,8,9,4
C0100,Emmett,Estes,1969-06-05,M,USA,California,3,57,C0100,4,1449544.65,362386.1625,True,False,False,False,True,8,9,2
C0101,Aniya,Miller,1951-03-02,F,USA,Nevada,3,75,C0101,4,1125013.8,281253.45,True,False,False,False,True,25,9,0
C0102,Jack,Anderson,1947-02-13,M,USA,California,5,79,C0102,9,3403263.85,378140.4277777778,True,True,True,False,True,8,9,4
C0103,Kael,Hurley,1973-12-15,M,USA,Colorado,3,53,C0103,5,1483838.77,296767.754,True,False,False,False,True,11,9,0
C0104,Kamden,Stewart,1978-09-14,M,USA,California,5,48,C0104,5,1677155.01,335431.002,True,False,False,False,True,8,9,2
C0105,Aniyah,Ali,1959-11-03,F,USA,California,2,67,C0105,5,1328084.36,265616.87200000003,True,True,True,False,True,8,9,0
C0106,Simon,Bennett,1953-06-09,M,USA,Colorado,4,73,C0106,4,957679.27,239419.8175,True,False,False,False,True,11,9,0
C0107,Laurel,Benitez,1959-08-06,M,USA,California,4,67,C0107,5,1715058.23,343011.646,True,False,True,False,False,8,9,2
C0108,Trey,Strong,1958-12-20,M,USA,California,4,68,C0108,6,1998798.72,333133.12,True,False,False,False,False,8,9,4
C0109,Myah,Roman,1933-05-05,F,USA,California,5,93,C0109,5,1995551.0899999999,399110.218,True,True,True,False,False,8,9,2
C0110,Nyla,Blake,1959-06-05,F,USA,California,5,67,C0110,5,1205555.46,241111.092,True,True,True,False,False,8,9,0
C0111,Kole,Shannon,1979-06-27,M,USA,Arizona,2,47,C0111,4,1198421.22,299605.305,True,False,True,False,True,1,9,0
C0112,Melany,Glover,1960-10-01,F,USA,California,1,66,C0112,5,1775142.2,355028.44,True,True,True,False,False,8,9,2
